location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
RWA,False,False,Not provided,,,,,,1,900112,,3-month,321.50003,335.0783,96.00731,106,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900112,,dekad,31.915094,27.554403,113.39507,106,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900112,,1-month,84.65094,74.72956,112.443794,106,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900112,,3-month,301.20755,309.4409,97.38159,106,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900112,,dekad,68.537735,29.729246,211.74583,106,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900112,,1-month,138.00943,80.09057,168.0673,106,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900112,,,,288.09213,113.26209,106,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900112,,,,36.338364,214.52045,106,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900112,,1-month,184.13208,93.62201,191.77472,106,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900112,,3-month,382.76416,281.3327,135.42435,106,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900112,,,,28.486792,97.70114,106,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900112,,1-month,179.93396,94.554405,185.7617,106,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900112,,3-month,378.72644,263.05347,143.15295,106,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900112,,dekad,35.292454,49.708805,73.64893,106,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900112,,1-month,146.68867,114.533966,126.90006,106,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900112,,3-month,397.9434,282.94464,139.93779,106,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900112,,dekad,51.132076,41.16572,121.58822,106,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900112,,1-month,114.14151,119.36132,95.802704,106,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900112,,3-month,412.16983,297.2346,138.02849,106,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900112,,,,61.58113,69.28702,106,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900112,,1-month,127.55661,152.45566,84.18663,106,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900112,,3-month,392.1415,321.73962,121.54678,106,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900112,,dekad,31.301888,60.457863,55.45841,106,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900112,,1-month,123.56604,163.20471,76.434265,106,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900112,,3-month,408.26416,357.82925,113.900444,106,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900112,,,,58.35849,93.25492,106,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900112,,1-month,126.51887,180.39749,70.93886,106,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900112,,3-month,424.79245,393.38083,107.88483,106,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900112,,dekad,53.396225,51.659435,103.065315,106,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900112,,1-month,138.78302,170.47578,81.93895,106,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900112,,3-month,446.27356,417.48584,106.813896,106,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900112,,dekad,20.698112,46.963207,49.454437,106,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900112,,1-month,128.17924,156.98112,82.218994,106,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900112,,3-month,398.43396,434.71982,91.747955,106,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900112,,dekad,51.320755,38.98239,128.05296,106,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900112,,1-month,125.41509,137.60503,91.451965,106,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900112,,3-month,366.07544,437.36383,83.88467,106,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900112,,dekad,90.18868,33.586792,246.68723,106,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900112,,1-month,162.20755,119.532394,134.26833,106,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900112,,3-month,428.54715,442.46384,96.88988,106,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900112,,dekad,4.3018866,14.381447,47.993767,106,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900112,,1-month,145.81131,86.95063,164.01335,106,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900112,,3-month,397.5566,407.13647,97.67556,106,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900113,,dekad,14.4,36.077206,47.228138,155,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900113,,1-month,123.76129,125.51011,98.66002,155,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900113,,3-month,367.37418,423.57614,86.88635,155,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900113,,dekad,60.464516,33.312904,170.86806,155,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900113,,1-month,134.01935,119.097206,112.02456,155,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900113,,3-month,384.62576,408.6613,94.18957,155,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900113,,dekad,47.890324,38.88129,120.530464,155,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900113,,1-month,122.75484,108.2714,112.7865,155,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900113,,3-month,394.44513,396.6884,99.44154,155,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900113,,dekad,80.67742,37.9,199.71426,155,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900113,,1-month,189.03226,110.09419,168.58562,155,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900113,,3-month,418.85806,378.67764,110.47244,155,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900113,,dekad,76.21935,45.05097,162.27328,155,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900113,,1-month,204.78711,121.83226,165.40517,155,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900113,,3-month,450.3742,373.71506,120.241905,155,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900113,,dekad,26.032259,32.147743,83.5374,155,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900113,,1-month,182.92903,115.09871,156.4788,155,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900113,,3-month,446.24515,354.44623,125.53898,155,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900113,,dekad,31.935484,53.51871,63.117397,155,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900113,,1-month,134.18709,130.71742,102.55654,155,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900113,,3-month,446.98065,366.32172,121.722115,155,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900113,,dekad,59.864517,43.794624,132.93373,155,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900113,,1-month,117.83226,129.46107,91.35154,155,final,2022-03-11,2022-03-20
